Item,UNITED STATES,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
Debt at end of fiscal year,"1,115,462,639","8,785,245","6,416,861","13,960,248","4,246,826","148,929,107","16,709,540","30,364,883","5,515,150","41,324,398","13,788,833","7,700,654","3,872,453","61,360,745","23,634,564","7,397,936","6,509,409","14,393,269","17,450,402","6,034,227","24,474,671","73,939,716","32,146,344","11,569,786","6,491,980","20,421,226","4,156,638","2,442,982","4,435,774","8,347,216","60,968,300","8,739,878","129,529,501","18,853,155","2,198,282","30,003,599","9,963,419","13,510,005","44,737,622","9,498,115","15,770,780","3,483,142","5,835,113","42,033,571","6,477,933","3,492,873","25,046,936","27,522,099","7,144,323","22,318,551","1,514,359"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and security holdings,"3,323,047,498","34,217,563","60,118,873","41,842,910","23,179,987","480,185,680","58,788,204","39,250,696","12,829,017","164,698,269","70,644,978","14,385,388","16,364,183","112,440,344","53,584,303","30,971,251","15,920,138","35,207,785","51,587,818","15,976,887","52,114,688","88,106,312","73,395,482","51,849,514","27,827,946","62,767,461","15,515,886","12,635,329","23,761,540","11,595,601","104,167,662","41,486,709","299,109,916","83,941,441","13,847,634","172,498,523","32,345,773","62,301,831","114,304,133","15,362,227","33,468,922","11,404,099","36,919,854","253,068,306","25,386,840","6,585,601","69,947,162","72,524,078","17,847,539","84,936,169","19,829,046"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) Within insurance trust revenue, net earnings of state retirement systems  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"is a calculated statistic (the item code in the data file is X08), and thus can be  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive or negative. Net earnings is the sum of earnings on investments plus gains on  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
investments minus losses on investments. The change made in 2002 for asset valuation  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from book to market value in accordance with Statement 34 of the Governmental ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standards Board is reflected in the calculated statistics. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: 2010 Annual Survey of State Government Finances. Data users who create their own estimates using,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data from this report should cite the U.S. Census Bureau as the source of the original data only. The data in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this table are based on information from public records and contain no confidential data. Although the data in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"this table come from a census of governmental units and are not subject to sampling error, the census results",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"do contain nonsampling error. Additional information on nonsampling error, response rates, and definitions may be found at:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www2.census.gov/govs/state/10_methodology.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Created: December 14, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised:  January 23, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
