Item,UNITED STATES,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
      Other taxes,"35,984,777","437,342","3,474,005","804,065","1,044,976","3,378,006","71,559","273,454","53,868","1,327,510","97,850","39,887","7,012","334,664","134,637","80,891","186,019","873,590","809,649","96,107","1,134,294","454,089","2,249,953","1,090,424","116,648","50,555","493,824","15,258","988,542","478,317","861,501","714,384","2,514,626","119,648","1,138,687","65,574","778,441","145,983","1,156,076","39,072","41,728","8,728","244,600","1,856,404","89,223","985,208","435,085","2,323,894","560,171","205,022","1,103,727"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Current charges,"169,854,534","4,105,973","557,786","2,091,011","2,146,394","15,430,042","2,951,570","2,010,227","1,142,706","8,586,804","3,535,034","1,411,125","616,062","4,522,641","3,543,541","2,416,841","2,200,168","2,923,695","3,094,466","804,658","3,156,320","4,271,134","7,050,104","2,537,394","1,710,579","2,656,716","578,992","977,868","675,398","950,203","5,969,440","1,448,184","8,849,126","4,239,914","651,297","7,754,419","2,333,506","3,024,055","7,939,424","765,541","4,359,739","333,774","2,184,230","11,478,982","2,716,447","608,434","7,232,843","4,175,479","1,318,893","3,632,874","182,481"
    Miscellaneous general revenue,"116,051,384","1,328,419","3,000,471","1,456,562","817,306","8,518,458","1,991,175","1,400,593","1,286,114","5,925,710","1,968,444","630,456","485,812","4,293,930","2,061,170","1,143,885","897,901","1,258,120","2,333,603","489,364","2,270,395","4,561,076","3,883,734","1,694,582","614,051","1,948,161","782,153","789,012","508,658","785,978","3,808,303","1,901,321","11,828,217","2,601,699","376,326","4,018,213","2,065,884","1,829,375","4,432,846","858,151","1,906,154","542,058","1,447,987","7,595,370","1,045,061","305,784","3,679,513","2,252,583","1,161,206","2,440,353","829,687"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Utility revenue,"15,121,578", -   ,"18,709","29,511", -   ,"4,052,664", -   ,"29,146","15,336","20,749","6,718", -   , -   , -   , -   , -   , -   , -   ,"11,469", -   ,"124,362","210,660", -   , -   , -   , -   , -   , -   ,"84,336", -   ,"880,775", -   ,"7,426,966",8, -   , -   ,"491,258",49, -   ,"27,697","1,688,893", -   , -   , -   , -   , -   , -   , -   ,"2,272", -   , -   
  Liquor stores revenue,"6,494,993","252,034", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"117,660", -   , -   ,"213,972", -   , -   , -   ,28, -   , -   ,"780,265", -   ,"257,085", -   ,"68,044", -   , -   ,"514,366", -   , -   , -   , -   , -   ,"779,291", -   ,"420,618","1,511,390", -   , -   , -   , -   , -   ,"236,622","44,773","558,730","578,617","79,614", -   ,"81,884"
  Insurance trust revenue (1),"451,103,159","3,581,967","1,320,161","6,487,972","3,374,355","78,665,113","8,059,532","4,837,892","726,745","20,291,200","8,391,620","2,137,721","2,015,281","17,600,607","5,773,416","3,835,338","2,322,999","4,909,809","4,723,704","1,291,293","6,085,329","7,908,081","12,656,425","8,424,692","3,294,223","7,803,953","1,400,283","1,386,803","4,031,710","1,091,718","14,467,901","3,560,663","48,067,261","13,409,724","703,200","30,079,776","3,714,359","9,282,090","17,891,521","1,762,973","5,666,986","593,240","4,202,173","20,466,032","2,557,760","625,912","8,694,772","10,017,594","1,921,154","17,242,962","1,745,164"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"1,943,522,632","27,699,687","11,011,201","33,015,591","18,008,650","257,236,917","26,996,775","27,456,676","7,826,826","81,831,697","44,482,207","11,286,331","8,514,075","74,482,545","35,474,194","19,108,896","16,583,949","29,097,531","33,615,486","9,024,322","37,521,125","52,448,089","63,907,650","37,904,398","20,022,652","30,781,944","7,052,380","9,456,753","12,934,509","7,705,787","67,776,049","17,996,040","174,754,082","52,189,891","5,134,130","76,690,552","22,766,045","26,978,154","87,285,286","8,212,308","29,036,681","4,429,196","29,675,372","119,871,583","16,267,432","5,745,943","43,297,502","46,237,740","12,343,051","38,589,815","5,756,937"
  Intergovernmental expenditure,"485,557,187","6,604,013","1,655,467","9,179,514","5,057,598","90,530,131","6,513,704","4,846,870","1,235,608","18,478,449","10,747,620","177,624","2,022,896","15,530,746","9,705,254","4,528,319","4,176,958","5,078,845","6,658,397","1,346,639","8,592,779","9,107,483","19,410,018","10,427,657","5,272,442","6,227,955","1,334,478","2,192,338","3,703,574","1,261,454","11,877,592","4,322,463","54,318,363","13,429,946","1,245,686","18,348,743","4,546,446","5,864,882","18,871,434","1,193,600","5,369,519","737,190","6,664,828","27,461,315","3,027,680","1,518,129","10,959,394","9,798,444","2,382,633","10,253,124","1,760,946"
  Direct expenditure,"1,457,965,445","21,095,674","9,355,734","23,836,077","12,951,052","166,706,786","20,483,071","22,609,806","6,591,218","63,353,248","33,734,587","11,108,707","6,491,179","58,951,799","25,768,940","14,580,577","12,406,991","24,018,686","26,957,089","7,677,683","28,928,346","43,340,606","44,497,632","27,476,741","14,750,210","24,553,989","5,717,902","7,264,415","9,230,935","6,444,333","55,898,457","13,673,577","120,435,719","38,759,945","3,888,444","58,341,809","18,219,599","21,113,272","68,413,852","7,018,708","23,667,162","3,692,006","23,010,544","92,410,268","13,239,752","4,227,814","32,338,108","36,439,296","9,960,418","28,336,691","3,995,991"
    Current operation,"934,321,563","14,664,600","6,460,100","16,019,332","9,457,322","104,408,397","11,977,651","13,910,437","4,644,340","41,770,772","21,390,574","8,248,951","4,092,661","33,702,589","16,602,413","9,552,390","8,429,435","15,726,860","18,602,304","5,734,175","19,291,377","26,672,369","27,686,548","18,126,213","10,623,947","16,279,680","3,716,530","5,454,797","4,720,519","4,498,632","32,569,027","9,807,614","77,925,097","25,469,694","2,592,852","31,743,004","11,825,785","12,373,948","40,916,770","4,366,354","15,988,611","2,372,787","16,885,663","64,866,427","8,508,997","3,172,930","22,321,955","21,151,527","6,984,904","17,474,054","2,537,648"
    Capital outlay,"118,010,630","2,074,629","1,243,983","1,628,186","820,631","9,671,465","1,557,328","1,369,979","664,509","5,217,181","2,793,411","888,875","780,434","4,946,928","2,309,906","1,602,122","1,019,106","2,042,584","2,555,452","388,794","2,468,058","2,622,632","2,467,151","1,603,553","1,349,926","1,920,922","755,124","805,358","695,708","466,297","4,076,105","1,176,386","10,994,049","3,073,825","579,222","4,469,090","2,612,664","1,586,078","7,506,718","397,007","1,746,611","669,853","1,624,918","6,677,238","1,925,320","232,531","2,673,089","3,334,280","1,004,272","2,328,873","592,269"
    Insurance benefits and repayments,"320,720,833","3,441,537","1,168,945","5,001,254","2,207,414","42,896,074","5,815,759","5,358,550","784,349","13,048,685","7,727,831","1,540,198","1,303,689","16,021,624","4,971,325","2,655,772","2,408,383","4,854,204","4,048,943","1,090,919","4,559,865","9,752,212","11,762,459","6,182,372","2,315,197","4,976,914","971,106","745,591","3,370,551","917,546","15,924,753","2,092,035","24,605,747","9,121,329","445,633","18,407,307","2,860,646","6,174,923","16,404,349","1,699,252","4,177,124","440,917","3,348,867","17,499,062","1,909,984","499,206","4,848,401","9,222,082","1,505,492","6,905,196","729,260"
    Assistance and subsidies,"37,561,512","542,260","178,542","589,282","317,052","3,018,863","293,792","510,668","209,723","1,939,348","1,123,773","121,968","140,819","1,163,189","885,573","519,909","208,907","796,931","692,542","208,643","1,576,304","788,798","1,389,817","1,052,501","225,858","556,509","104,786","162,136","241,249","158,458","1,244,291","257,950","1,577,775","492,672","156,277","2,238,769","407,391","532,852","1,849,102","126,623","1,049,436","82,220","908,426","2,197,332","640,114","169,004","1,424,292","1,564,475","198,482","652,245","73,584"
    Interest on debt,"47,350,907","372,648","304,164","598,023","148,633","6,711,987","838,541","1,460,172","288,297","1,377,262","698,998","308,715","173,576","3,117,469","999,723","250,384","341,160","598,107","1,057,848","255,152","1,032,742","3,504,595","1,191,657","512,102","235,282","819,964","170,356","96,533","202,908","403,400","2,084,281","339,592","5,333,051","602,425","114,460","1,483,639","513,113","445,471","1,736,913","429,472","705,380","126,229","242,670","1,170,209","255,337","154,143","1,070,371","1,166,932","267,268","976,323","63,230"
Exhibit: Salaries and wages,"244,952,277","4,444,987","1,700,062","3,180,343","1,906,141","30,443,984","3,899,829","4,209,442","2,266,215","8,809,669","5,414,833","2,510,083","1,049,380","8,760,873","4,242,570","2,377,335","3,580,372","3,805,359","2,493,013","777,356","4,776,435","5,159,661","6,608,060","5,198,408","2,405,967","3,789,775","960,080","2,282,049","1,566,615","939,903","10,110,123","2,698,519","17,990,954","8,537,894","960,305","8,463,707","3,119,210","4,324,126","8,072,449","1,096,055","3,565,618","899,706","3,595,113","15,638,657","2,653,421","735,396","6,233,732","9,965,462","1,731,700","4,292,114","709,217"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"1,943,522,632","27,699,687","11,011,201","33,015,591","18,008,650","257,236,917","26,996,775","27,456,676","7,826,826","81,831,697","44,482,207","11,286,331","8,514,075","74,482,545","35,474,194","19,108,896","16,583,949","29,097,531","33,615,486","9,024,322","37,521,125","52,448,089","63,907,650","37,904,398","20,022,652","30,781,944","7,052,380","9,456,753","12,934,509","7,705,787","67,776,049","17,996,040","174,754,082","52,189,891","5,134,130","76,690,552","22,766,045","26,978,154","87,285,286","8,212,308","29,036,681","4,429,196","29,675,372","119,871,583","16,267,432","5,745,943","43,297,502","46,237,740","12,343,051","38,589,815","5,756,937"
 General expenditure,"1,593,693,957","24,016,434","9,734,692","27,982,432","15,801,236","210,491,325","21,153,440","21,571,811","6,917,204","68,685,083","36,710,385","9,742,970","7,119,304","58,460,921","30,502,869","16,306,414","14,175,566","24,192,556","29,560,930","7,929,528","32,110,165","42,436,302","51,510,080","31,702,303","17,500,003","25,805,030","6,004,791","8,711,162","9,478,097","6,350,744","49,106,061","15,904,005","137,973,286","43,013,853","4,688,497","57,813,231","19,359,191","20,559,825","69,431,023","6,354,011","22,919,524","3,988,279","26,326,505","102,372,521","14,183,072","5,172,036","37,994,323","36,469,145","10,767,434","31,677,742","4,956,616"
    Intergovernmental expenditure,"485,557,187","6,604,013","1,655,467","9,179,514","5,057,598","90,530,131","6,513,704","4,846,870","1,235,608","18,478,449","10,747,620","177,624","2,022,896","15,530,746","9,705,254","4,528,319","4,176,958","5,078,845","6,658,397","1,346,639","8,592,779","9,107,483","19,410,018","10,427,657","5,272,442","6,227,955","1,334,478","2,192,338","3,703,574","1,261,454","11,877,592","4,322,463","54,318,363","13,429,946","1,245,686","18,348,743","4,546,446","5,864,882","18,871,434","1,193,600","5,369,519","737,190","6,664,828","27,461,315","3,027,680","1,518,129","10,959,394","9,798,444","2,382,633","10,253,124","1,760,946"
    Direct expenditure,"1,108,136,770","17,412,421","8,079,225","18,802,918","10,743,638","119,961,194","14,639,736","16,724,941","5,681,596","50,206,634","25,962,765","9,565,346","5,096,408","42,930,175","20,797,615","11,778,095","9,998,608","19,113,711","22,902,533","6,582,889","23,517,386","33,328,819","32,100,062","21,274,646","12,227,561","19,577,075","4,670,313","6,518,824","5,774,523","5,089,290","37,228,469","11,581,542","83,654,923","29,583,907","3,442,811","39,464,488","14,812,745","14,694,943","50,559,589","5,160,411","17,550,005","3,251,089","19,661,677","74,911,206","11,155,392","3,653,907","27,034,929","26,670,701","8,384,801","21,424,618","3,195,670"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  General expenditure, by function:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Education,"571,147,157","10,555,436","2,303,781","8,806,846","6,985,983","70,303,293","9,090,749","6,593,494","2,432,264","23,043,590","16,985,461","3,254,387","2,761,322","17,282,643","14,214,891","5,946,941","5,917,771","9,325,602","9,060,789","2,097,101","11,685,818","11,879,337","22,789,375","11,745,604","5,581,577","8,949,863","1,824,149","3,268,458","4,032,431","2,003,098","16,462,416","5,519,109","39,107,606","18,644,909","1,765,141","22,051,745","7,761,989","7,341,838","21,501,557","1,768,009","7,775,952","1,303,153","8,973,778","46,704,736","6,124,277","2,300,338","13,863,611","14,817,620","3,931,867","11,091,896","1,613,556"
    Public welfare,"462,430,908","6,032,533","1,799,863","9,211,757","4,290,502","63,848,655","4,414,802","6,029,549","1,656,504","20,880,282","9,886,063","1,960,542","1,784,787","18,099,471","7,996,960","4,662,116","3,341,973","7,191,181","6,436,385","2,908,167","8,772,071","13,772,343","14,469,837","10,727,038","5,181,703","7,327,029","1,305,718","2,281,071","1,942,891","1,909,365","13,806,299","4,390,919","49,595,770","11,417,170","828,652","16,882,487","5,412,442","5,423,746","22,534,344","2,329,603","6,192,888","977,597","10,038,634","29,017,233","2,680,789","1,404,798","8,727,177","8,546,635","3,042,614","8,325,974","733,979"
