States,Year,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charges,Miscellaneous general revenue,Utility revenue, Liquor stores revenue,Insurance trust revenue ,Total expenditure,  Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,    Intergovernmental expenditure, Direct expenditure,Education,Public welfare,Hospitals,Health,Highways,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration, Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
IDAHO,2008,7151673,6808584,2046612,3651917,1347327,395967,270270,1438518,190194,9641,591766,518289, -   ,116360,226729,7717823,2037507,5680316,3838580,771201,782255,123099,165181,1041185,7717823,6849329,2037507,4811822,2774669,1614703,47310,151087,696062,51314,244504,213597,41137,360140,165181,489625, -   ,86239,782255,3379159,17140704
ILLINOIS,2008,56667679,53365067,14741837,29916869,7935417,6948758,2343858,10320000,1860000,508836,4344080,4362281, -   , -   ,3302612,63373639,14585898,48787741,32371022,3350887,9108448,1090333,2867051,8488668,63373639,54264982,14585898,39679084,16342627,17167067,1004573,2452733,4510194,437448,1244230,272110,276560,1219357,2867051,6471032,209, -   ,9108448,58436829,132013893
INDIANA,2008,29315999,29244852,8349018,15117458,5738829,2657180,799999,4837524,909494,174432,3323314,2455062, -   , -   ,71147,30511583,7976702,22534881,16399693,2056479,2370775,740281,967653,3742390,30511583,28140808,7976702,20164106,10616678,8034079,198120,627263,1967658,254012,676633,293931,71753,608666,967653,3824362, -   , -   ,2370775,19916264,55119114
IOWA,2008,15939935,15013528,4630352,6892041,1840862,1119705,639779,2848393,347248,96054,2180781,1310354, -   ,191867,734540,16558941,4142960,12415981,8751216,1185695,1593778,493304,391988,2301969,16558941,14830301,4142960,10687341,5790799,3904781,1092682,240951,1381730,96991,291406,288799,61112,554993,391988,734069, -   ,134862,1593778,7235998,34409200
KANSAS,2008,13541510,13504781,3495517,7159748,2264747,826474,303696,2944851,528011,291969,1989970,859546, -   , -   ,36729,14968812,4214475,10754337,7811768,1107285,1323310,177505,334469,3174710,14968812,13645502,4214475,9431027,5750358,3167907,973004,252179,1213980,110231,361648,205394,37074,459166,334469,780092, -   , -   ,1323310,5836651,18477838
KENTUCKY,2008,20623791,20837802,6630599,10043875,2875836,1842681,457343,3483138,533630,851247,2777878,1385450, -   , -   ,-214011,25662244,4700971,20961273,14208741,2486693,3058479,704306,503054,3736596,25662244,22603765,4700971,17902794,8718692,6198814,1100758,626189,2481003,193185,527311,373489,121487,840386,503054,919397, -   , -   ,3058479,12209861,44584567
LOUISIANA,2008,31138155,30681397,14181049,11003870,3459383,2079507,498612,3169686,703196,1093486,2725053,2771425,7739, -   ,449019,33946744,6022791,27923953,20560928,2813306,3014667,631391,903661,4262552,33946744,30926667,6022791,24903876,9083468,5828886,1964889,640753,2132077,349563,773076,579131,371160,929882,903661,7370121,5410, -   ,3014667,16387658,59438420
MAINE,2008,7493041,7493105,2427894,3785719,1060557,644749,231268,1562839,184515,101791,770014,509478, -   ,26,-90,8171059,1335469,6835590,5323809,288296,725687,242412,255386,760447,8171059,7445085,1335469,6109616,2018207,2492721,56286,568473,478343,72231,141982,167216,11159,325779,255386,857302,286,1,725687,5297682,17164883
MARYLAND,2008,28452629,28845223,7525060,15743757,3748933,2529653,697481,6940134,735324,1092232,2963104,2613302,117314, -   ,-509908,34029826,8509003,25520823,18024549,2299752,2987361,1162849,1046312,4724830,34029826,30328016,8509003,21819013,10991254,7118659,541820,1958191,2510419,405655,1366211,562098,269711,1243982,1046312,2313704,714449, -   ,2987361,23120309,59309195
MASSACHUSETTS,2008,44356687,42056206,10323982,22059169,4098089,2108903,685045,12496142,2179956,491034,4068818,5604237,194822, -   ,2105659,46443177,8840769,37602408,25151808,2455753,5587616,690714,3716517,5010065,46443177,40620579,8840769,31779810,10714000,12682783,466869,1068262,2245666,569777,1332960,338037,238203,1666967,3627100,5669955,234982, -   ,5587616,71892262,97948823
