Item,UNITED STATES,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
Total revenue,"1,579,327,215","17,685,597","16,314,578","27,144,911","15,110,836","199,109,935","26,198,172","21,474,407","6,649,109","68,885,833","41,153,807","9,233,435","7,151,673","56,667,679","29,315,999","15,939,935","13,541,510","20,623,791","31,138,155","7,493,041","28,452,629","44,356,687","42,802,955","29,707,313","16,253,029","25,285,284","6,402,859","8,384,577","10,471,591","6,319,486","55,065,611","12,458,381","145,475,808","50,387,762","4,921,091","65,923,692","18,656,746","17,346,580","71,142,087","6,691,508","22,836,798","2,910,381","25,626,489","94,310,376","15,419,153","5,148,618","36,153,130","36,659,905","10,736,112","25,469,939","6,718,235"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  General revenue,"1,509,888,971","21,306,154","16,182,604","26,534,908","14,758,555","192,336,103","19,294,548","21,416,334","6,555,960","71,467,243","36,671,549","9,236,801","6,808,584","53,365,067","29,244,852","15,013,528","13,504,781","20,837,802","30,681,397","7,493,105","28,845,223","42,056,206","49,316,492","29,682,086","16,504,961","24,253,709","5,490,621","8,357,739","9,431,327","5,707,224","51,395,700","13,279,063","131,165,768","42,064,048","4,655,088","54,745,431","17,826,212","16,856,418","60,800,175","6,387,606","20,236,860","3,426,159","25,105,575","99,010,018","13,194,250","4,857,001","36,062,290","32,272,827","10,766,289","27,802,380","5,624,350"
    Intergovernmental revenue,"441,972,830","7,044,767","2,190,854","8,887,402","4,531,191","51,914,572","4,638,259","4,344,898","1,335,675","19,876,492","13,090,193","2,092,852","2,046,612","14,741,837","8,349,018","4,630,352","3,495,517","6,630,599","14,181,049","2,427,894","7,525,060","10,323,982","13,363,940","7,255,639","7,718,794","8,574,430","1,919,126","2,560,819","1,857,810","1,830,369","11,217,573","4,322,241","44,905,377","12,588,553","1,233,474","17,093,617","5,705,546","4,835,171","16,170,286","2,017,956","6,280,223","1,256,446","8,308,154","33,611,389","3,474,592","1,420,594","7,395,278","8,303,676","3,274,439","7,013,591","2,164,652"
    Taxes,"779,716,635","9,070,530","8,732,385","13,153,271","7,530,504","117,361,976","9,624,636","13,946,399","2,930,955","35,977,055","18,070,032","5,147,569","3,651,917","29,916,869","15,117,458","6,892,041","7,159,748","10,043,875","11,003,870","3,785,719","15,743,757","22,059,169","24,781,626","18,320,891","6,745,743","10,919,336","2,457,929","4,228,800","6,148,455","2,251,179","30,616,510","5,211,507","65,244,750","22,809,716","2,312,056","26,074,544","8,330,786","7,487,873","32,123,740","2,761,356","8,435,550","1,321,368","11,538,430","45,536,833","6,109,256","2,544,197","18,322,873","17,959,833","4,881,908","14,915,012","2,404,843"
      General sales,"240,165,120","2,287,288", -   ,"5,741,914","2,807,943","31,972,874","2,312,731","3,545,734", -   ,"21,518,100","5,796,653","2,619,595","1,347,327","7,935,417","5,738,829","1,840,862","2,264,747","2,875,836","3,459,383","1,060,557","3,748,933","4,098,089","8,225,599","4,550,838","3,135,390","3,228,274", -   ,"1,534,134","3,077,433", -   ,"8,915,515","1,922,922","11,294,737","5,269,929","530,078","7,865,674","2,096,220", -   ,"8,873,309","846,870","3,051,608","732,438","6,832,948","21,630,136","1,964,119","338,941","3,571,486","11,344,622","1,109,822","4,268,068","981,198"
      Selective sales,"118,659,579","2,145,820","277,033","1,851,551","970,274","7,834,850","1,206,858","2,267,169","484,515","7,902,020","1,892,192","682,584","395,967","6,948,758","2,657,180","1,119,705","826,474","1,842,681","2,079,507","644,749","2,529,653","2,108,903","3,694,773","2,882,225","1,094,053","1,542,357","544,402","501,307","1,864,646","792,947","3,604,086","739,335","8,855,309","3,664,857","343,328","4,879,721","937,582","969,734","6,432,704","534,245","1,227,555","339,814","1,779,434","12,737,169","679,915","516,320","2,436,546","3,056,046","1,157,069","2,048,994","134,663"
      License taxes,"49,066,849","487,934","137,258","420,770","307,342","7,642,180","377,179","355,345","1,033,345","1,879,315","496,270","156,781","270,270","2,343,858","799,999","639,779","303,696","457,343","498,612","231,268","697,481","685,045","1,354,001","1,011,289","418,771","604,928","311,029","206,783","541,796","215,878","1,452,361","254,544","1,229,922","1,435,665","165,810","2,656,231","891,423","917,300","2,822,738","95,792","433,877","172,165","1,287,826","7,039,520","371,300","124,736","653,076","953,113","193,468","909,664","120,773"
      Individual income tax,"277,996,021","3,077,553", -   ,"3,408,576","2,344,876","55,745,970","5,067,981","6,851,937","1,006,859", -   ,"8,845,476","1,544,835","1,438,518","10,320,000","4,837,524","2,848,393","2,944,851","3,483,138","3,169,686","1,562,839","6,940,134","12,496,142","7,181,055","7,777,259","1,551,079","5,118,849","870,064","1,726,145", -   ,"117,936","12,605,545","1,198,400","36,563,948","10,993,927","317,249","9,847,506","2,787,445","4,968,791","10,408,439","1,091,705","3,327,800", -   ,"290,986", -   ,"2,593,129","623,019","10,114,833", -   ,"1,518,746","6,466,878", -   
      Corporate income tax,"49,860,451","524,808","1,297,513","784,511","342,529","11,849,097","507,986","604,413","308,676","2,208,600","943,042","105,294","190,194","1,860,000","909,494","347,248","528,011","533,630","703,196","184,515","735,324","2,179,956","1,778,317","1,040,479","384,643","384,010","161,713","232,852", -   ,"614,794","2,819,906","403,500","5,037,830","1,206,412","161,925","754,633","360,065","477,113","2,191,420","145,866","312,600","69,879","1,005,880", -   ,"394,638","84,783","787,229", -   ,"538,839","863,088", -   
