States,Year,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charges,Miscellaneous general revenue,Utility revenue,Liquor stores revenue,Insurance trust revenue ,Total expenditure, Intergovernmental expenditure, Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,Education,Public welfare,Hospitals,Health,Highways,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure, Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
IOWA,2009,13207715,16246355,5670077,6985090,2201396,1070780,658939,2703190,264365,86420,2421550,1169638, -   ,208053,-3246693,18303986,4660802,13643184,9280109,1614519,1990046,505797,252713,2442092,18303986,16172418,4660802,11511616,6147569,4263942,1193593,262034,1613728,97987,292609,323176,41899,574879,252713,1108289, -   ,141522,1990046,6353306,27085348
KANSAS,2009,11654910,13575933,3815931,6694630,2227183,817721,301953,2731559,370889,245325,2182508,882864, -   , -   ,-1921023,15832222,4314940,11517282,8163777,1135684,1676368,194699,346754,3189772,15832222,14155854,4314940,9840914,6013798,3282069,1002199,249872,1244991,110155,358672,230085,33566,456186,346754,827507, -   , -   ,1676368,5857295,14909232
KENTUCKY,2009,18875625,21471911,7487283,9740886,2857665,1806165,458548,3315368,389634,913506,2960372,1283370, -   , -   ,-2596286,26853131,4769871,22083260,15067628,1941550,3803813,744925,525344,3747841,26853131,23019129,4769871,18249258,8866268,6842092,1262836,669338,1906011,183117,505941,322654,113587,801282,525344,1020659,30189, -   ,3803813,13364138,36835251
LOUISIANA,2009,23951567,28079896,12521094,10201931,2963758,2239146,464971,2940633,612545,980878,2926042,2430829,6767, -   ,-4135096,33406414,6505389,26901025,18693932,3158557,3443816,650613,954107,4569340,33406414,29956928,6505389,23451539,9239286,6123351,2101290,672118,2666699,343922,832499,639880,290996,954841,954107,5137939,5670, -   ,3443816,17504772,51308816
MAINE,2009,6215026,7890762,3101082,3488960,1012357,628314,243168,1370710,143086,91325,782974,517746, -   ,30,-1675766,8775249,1325723,7449526,5760436,311203,888036,220864,268987,786019,8775249,7885803,1325723,6560080,2063566,2847046,59199,552645,524088,75535,148446,193702,12262,313053,268987,827274,1410, -   ,888036,5297276,14753089
MARYLAND,2009,24054709,29676656,8775964,15285561,3851341,2371570,763284,6478236,749001,1072129,3205651,2409480,117243, -   ,-5739190,36023284,8654935,27368349,18927879,2492962,3537547,1365033,1044928,4889162,36023284,31665036,8654935,23010101,11190257,8131885,556339,2077774,2513661,471575,1412584,645965,179832,1278162,1044928,2162074,820701, -   ,3537547,23472579,49428484
MASSACHUSETTS,2009,34182458,42175688,12749102,19682914,3880087,2216239,753807,10599085,1789553,444143,4407922,5335750,211515, -   ,-8204745,48647503,8890500,39757003,25943582,2471221,6884771,721052,3736377,5024519,48647503,41527611,8890500,32637111,11275401,13189704,489859,1050574,1911792,579052,1329086,401929,222852,1766377,3647775,5663210,235121, -   ,6884771,74597901,86006277
MICHIGAN,2009,53090160,49634829,16311417,22757818,8998942,3505218,1351556,5856751,703250,2342101,6645099,3920495, -   ,781895,2673436,58997843,19656877,39340966,26980272,1713391,8175937,1302438,1168928,6228656,58997843,50187731,19656877,30530854,21938051,14086669,2366161,1204600,2662222,323947,1779209,340598,106892,865902,1168928,3344552,1082,633093,8175937,31686190,74337051
MINNESOTA,2009,22781153,29042836,8006629,17161299,4375200,2987140,1022182,6948119,779055,1049603,2331796,1543112, -   , -   ,-6261683,36308889,11199230,25109659,17327259,1778742,4614619,862045,526994,5180278,36308889,31645752,11199230,20446522,12889957,9926096,366903,662491,2206014,349589,554952,554166,184577,879945,526994,2544068,48518, -   ,4614619,10524424,47853782
MISSISSIPPI,2009,14393964,16838990,8209225,6490579,3026497,1111542,403120,1485592,324301,139527,1520173,619013, -   ,257059,-2702085,19246076,5156650,14089426,10581014,1213912,1876700,199186,218614,2291866,19246076,17162353,5156650,12005703,5442830,5130483,1042491,399109,1204070,115494,367878,256402,47236,355318,218614,2582428, -   ,207023,1876700,6189432,24818914
