States,Year,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charges,Miscellaneous general revenue,Utility revenue,Liquor stores revenue,Insurance trust revenue ,Total expenditure,Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,Education,Public welfare,Hospitals,Health,Highways, Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
KANSAS,2010,16538168,14215169,4624104,6492996,2150270,812404,304342,2687542,352419,186019,2200168,897901, -   , -   ,2322999,16583949,4176958,12406991,8429435,1019106,2408383,208907,341160,3580372,16583949,14175566,4176958,9998608,5917771,3341973,1075513,233815,1176849,108573,341998,210172,31774,525924,341160,870044, -   , -   ,2408383,6509409,15920138
KENTUCKY,2010,27772056,22862247,9149028,9531404,2794057,1890689,434765,3154488,383815,873590,2923695,1258120, -   , -   ,4909809,29097531,5078845,24018686,15726860,2042584,4854204,796931,598107,3805359,29097531,24192556,5078845,19113711,9325602,7191181,1180426,729353,1972134,190640,511528,344184,103871,841851,598107,1203679,50771, -   ,4854204,14393269,35207785
LOUISIANA,2010,32176876,27441703,13255001,8758633,2579946,2262851,426651,2286500,393036,809649,3094466,2333603,11469, -   ,4723704,33615486,6658397,26957089,18602304,2555452,4048943,692542,1057848,2493013,33615486,29560930,6658397,22902533,9060789,6436385,2286599,639275,2064808,356710,774510,757490,301299,1009439,1057848,4815778,5613, -   ,4048943,17450402,51587818
MAINE,2010,9290505,7999184,3215209,3489953,989645,677269,248270,1303370,175292,96107,804658,489364, -   ,28,1291293,9024322,1346639,7677683,5734175,388794,1090919,208643,255152,777356,9024322,7929528,1346639,6582889,2097101,2908167,55546,473951,585393,78290,145588,167101,15717,301987,255152,845535,3874,1,1090919,6034227,15976887
MARYLAND,2010,37408265,31198574,10534111,15237748,3753778,2503903,754089,6200292,891392,1134294,3156320,2270395,124362, -   ,6085329,37521125,8592779,28928346,19291377,2468058,4559865,1576304,1032742,4776435,37521125,32110165,8592779,23517386,11685818,8772071,509503,1888732,2193278,465444,1392836,489701,160134,1266812,1032742,2253094,851095, -   ,4559865,24474671,52114688
MASSACHUSETTS,2010,51013137,42894396,13971623,20090563,4625682,2188170,859728,10128035,1834859,454089,4271134,4561076,210660, -   ,7908081,52448089,9107483,43340606,26672369,2622632,9752212,788798,3504595,5159661,52448089,42436302,9107483,33328819,11879337,13772343,486992,1054843,1948609,624631,1203611,398124,198702,1654559,3417904,5796647,259575, -   ,9752212,73939716,88106312
MICHIGAN,2010,66107007,52670317,19527609,22208870,9012729,3422442,1360502,5531349,631895,2249953,7050104,3883734, -   ,780265,12656425,63907650,19410018,44497632,27686548,2467151,11762459,1389817,1191657,6608060,63907650,51510080,19410018,32100062,22789375,14469837,2478235,1117685,2643742,305370,1684525,302828,95844,841715,1191657,3589267,186,634925,11762459,32146344,73395482
MINNESOTA,2010,39908374,31483682,10042829,17208877,4426608,3456295,1055697,6458111,721742,1090424,2537394,1694582, -   , -   ,8424692,37904398,10427657,27476741,18126213,1603553,6182372,1052501,512102,5198408,37904398,31702303,10427657,21274646,11745604,10727038,237638,642730,2464623,369120,508658,560261,219240,879679,512102,2835610,19723, -   ,6182372,11569786,51849514
MISSISSIPPI,2010,20978857,17427549,8834096,6268823,2849099,1225508,408756,1352481,316331,116648,1710579,614051, -   ,257085,3294223,20022652,5272442,14750210,10623947,1349926,2315197,225858,235282,2405967,20022652,17500003,5272442,12227561,5581577,5181703,1065703,423719,1407717,101959,366733,245289,73915,386014,235282,2430392, -   ,207452,2315197,6491980,27827946
MISSOURI,2010,33914202,26110249,11798319,9707053,2919117,1609482,594456,4326507,206936,50555,2656716,1948161, -   , -   ,7803953,30781944,6227955,24553989,16279680,1920922,4976914,556509,819964,3789775,30781944,25805030,6227955,19577075,8949863,7327029,1471659,1375621,2326314,210649,719591,367173,38396,549774,819964,1648997, -   , -   ,4976914,20421226,62767461
MONTANA,2010,7476954,6008627,2504673,2142809, -   ,532013,308933,714814,93225,493824,578992,782153, -   ,68044,1400283,7052380,1334478,5717902,3716530,755124,971106,104786,170356,960080,7052380,6004791,1334478,4670313,1824149,1305718,47333,166217,734164,47282,184888,235500,17904,423980,170356,847300,15012,61471,971106,4156638,15515886
NEBRASKA,2010,10221332,8834529,3202752,3864897,1442951,510581,226944,1514831,154332,15258,977868,789012, -   , -   ,1386803,9456753,2192338,7264415,5454797,805358,745591,162136,96533,2282049,9456753,8711162,2192338,6518824,3268458,2281071,258220,442495,663162,89027,237884,257134,36681,217554,96533,862943, -   , -   ,745591,2442982,12635329
NEVADA,2010,14053177,9937131,2917112,5835963,2559489,1715505,572427, -   , -   ,988542,675398,508658,84336, -   ,4031710,12934509,3703574,9230935,4720519,695708,3370551,241249,202908,1566615,12934509,9478097,3703574,5774523,4032431,1942891,232222,227264,707462,93531,298822,117580,19668,273620,199872,1332734,85861, -   ,3370551,4435774,23761540
NEW HAMPSHIRE,2010,7974888,6368804,2360687,2271936, -   ,899397,312188,82365,499669,478317,950203,785978, -   ,514366,1091718,7705787,1261454,6444333,4498632,466297,917546,158458,403400,939903,7705787,6350744,1261454,5089290,2003098,1909365,53102,89808,560500,59539,114567,59138,27650,270109,403400,800468,5908,431589,917546,8347216,11595601
NEW JERSEY,2010,66531221,51182545,15476911,25927891,7898165,3409287,1388521,10322943,2047474,861501,5969440,3808303,880775, -   ,14467901,67776049,11877592,55898457,32569027,4076105,15924753,1244291,2084281,10110123,67776049,49106061,11877592,37228469,16462416,13806299,2258908,1340661,2905213,465469,1563653,652579,414367,1892575,2079966,5263955,2745235, -   ,15924753,60968300,104167662
NEW MEXICO,2010,17452867,13892204,6247462,4295237,1685302,619261,194590,956600,125100,714384,1448184,1901321, -   , -   ,3560663,17996040,4322463,13673577,9807614,1176386,2092035,257950,339592,2698519,17996040,15904005,4322463,11581542,5519109,4390919,918976,535037,882437,149580,413725,218155,69505,641333,339592,1825637, -   , -   ,2092035,8739878,41486709
NEW YORK,2010,195725953,140231726,55746773,63807610,10568466,10536018,1541769,34751382,3895349,2514626,8849126,11828217,7426966, -   ,48067261,174754082,54318363,120435719,77925097,10994049,24605747,1577775,5333051,17990954,174754082,137973286,54318363,83654923,39107606,49595770,5761923,8895513,4644815,1034695,3266368,497352,573493,5732952,4050715,14812084,12175049, -   ,24605747,129529501,299109916
NORTH CAROLINA,2010,57465106,44055374,15698831,21514930,5856993,3576598,1533688,9133689,1294314,119648,4239914,2601699,8, -   ,13409724,52189891,13429946,38759945,25469694,3073825,9121329,492672,602425,8537894,52189891,43013853,13429946,29583907,18644909,11417170,1529760,1705764,3045230,520263,1436294,556843,256290,1137202,602425,2161703,54709, -   ,9121329,18853155,83941441
NORTH DAKOTA,2010,6118449,5415249,1741931,2645695,603740,345038,166119,303764,88347,1138687,651297,376326, -   , -   ,703200,5134130,1245686,3888444,2592852,579222,445633,156277,114460,960305,5134130,4688497,1245686,3442811,1765141,828652,64361,126901,594876,27013,72657,243232,20345,147879,114460,682980, -   , -   ,445633,2198282,13847634
OHIO,2010,88677168,57818101,22461873,23583596,7253496,4991852,3243554,7886802,142318,65574,7754419,4018213, -   ,779291,30079776,76690552,18348743,58341809,31743004,4469090,18407307,2238769,1483639,8463707,76690552,57813231,18348743,39464488,22051745,16882487,2572584,2309442,3258502,285131,1605846,381711,114155,1878147,1483639,4989842, -   ,470014,18407307,30003599,172498523
OKLAHOMA,2010,23820301,19614684,8133133,7082161,1968309,1007356,886872,2224783,216400,778441,2333506,2065884,491258, -   ,3714359,22766045,4546446,18219599,11825785,2612664,2860646,407391,513113,3119210,22766045,19359191,4546446,14812745,7761989,5412442,231730,788653,1920884,175579,587482,247539,93459,607397,435174,1096863,546208, -   ,2860646,9963419,32345773
OREGON,2010,28889040,19186283,6857718,7475135, -   ,999939,1030086,4945538,353589,145983,3024055,1829375,49,420618,9282090,26978154,5864882,21113272,12373948,1586078,6174923,532852,445471,4324126,26978154,20559825,5864882,14694943,7341838,5423746,1477147,459211,1759045,170477,754369,415965,80459,841036,445471,1391061,27713,215693,6174923,13510005,62301831
PENNSYLVANIA,2010,83282944,63880033,21338641,30169122,8029797,7435101,2546905,9352287,1648956,1156076,7939424,4432846, -   ,1511390,17891521,87285286,18871434,68413852,40916770,7506718,16404349,1849102,1736913,8072449,87285286,69431023,18871434,50559589,21501557,22534344,3865380,1225737,7493880,878283,1874225,692230,251319,3245814,1736913,4131341, -   ,1449914,16404349,44737622,114304133
RHODE ISLAND,2010,8547053,6756383,2563932,2568759,798481,606500,93364,909674,121668,39072,765541,858151,27697, -   ,1762973,8212308,1193600,7018708,4366354,397007,1699252,126623,429472,1096055,8212308,6354011,1193600,5160411,1768009,2329603,57913,190318,293947,77150,174958,41543,5417,323819,429472,661862,159045, -   ,1699252,9498115,15362227
SOUTH CAROLINA,2010,28797998,21442119,7933502,7242724,2724641,1245802,409053,2673000,148500,41728,4359739,1906154,1688893, -   ,5666986,29036681,5369519,23667162,15988611,1746611,4177124,1049436,705380,3565618,29036681,22919524,5369519,17550005,7775952,6192888,1435197,1023050,1249688,173906,460351,224572,102809,910479,471176,2899456,1940033, -   ,4177124,15770780,33468922
SOUTH DAKOTA,2010,4584347,3991107,1794047,1321228,742363,338914,200066, -   ,31157,8728,333774,542058, -   , -   ,593240,4429196,737190,3692006,2372787,669853,440917,82220,126229,899706,4429196,3988279,737190,3251089,1303153,977597,63984,134121,531186,33527,110189,156994,40474,234157,126229,276668, -   , -   ,440917,3483142,11404099
TENNESSEE,2010,29719569,25517396,11371391,10513788,6130877,1896919,1167316,172459,901617,244600,2184230,1447987, -   , -   ,4202173,29675372,6664828,23010544,16885663,1624918,3348867,908426,242670,3595113,29675372,26326505,6664828,19661677,8973778,10038634,472403,1129326,1595076,209416,758842,264510,94876,784005,242670,1762969, -   , -   ,3348867,5835113,36919854
TEXAS,2010,120506772,100040740,41450202,39516186,19804177,11403861,6451744, -   , -   ,1856404,11478982,7595370, -   , -   ,20466032,119871583,27461315,92410268,64866427,6677238,17499062,2197332,1170209,15638657,119871583,102372521,27461315,74911206,46704736,29017233,4047211,2753187,5830910,818673,3691934,888625,193603,2009139,1170209,5247061, -   , -   ,17499062,42033571,253068306
UTAH,2010,16167203,13372821,4373886,5237427,1638906,768781,389896,2104641,245980,89223,2716447,1045061, -   ,236622,2557760,16267432,3027680,13239752,8508997,1925320,1909984,640114,255337,2653421,16267432,14183072,3027680,11155392,6124277,2680789,930644,395171,1595689,131464,302043,166172,43554,804190,255337,753742, -   ,174376,1909984,6477933,25386840
VERMONT,2010,6001197,5330512,1904907,2511387,311140,534196,106558,489107,85178,985208,608434,305784, -   ,44773,625912,5745943,1518129,4227814,3172930,232531,499206,169004,154143,735396,5745943,5172036,1518129,3653907,2300338,1404798,20152,156962,387389,74486,125326,69882,13037,130560,154143,334963,30001,44700,499206,3492873,6585601
VIRGINIA,2010,46356567,37103065,9779654,16411055,3543210,2328442,655193,8659470,789655,435085,7232843,3679513, -   ,558730,8694772,43297502,10959394,32338108,22321955,2673089,4848401,1424292,1070371,6233732,43297502,37994323,10959394,27034929,13863611,8727177,3219295,956154,2779737,645815,1496231,237522,109061,1298006,1070371,3591343, -   ,454778,4848401,25046936,69947162
WASHINGTON,2010,44306798,33710587,11176371,16106154,9607285,3241734,933241, -   , -   ,2323894,4175479,2252583, -   ,578617,10017594,46237740,9798444,36439296,21151527,3334280,9222082,1564475,1166932,9965462,46237740,36469145,9798444,26670701,14817620,8546635,1892729,1733220,3147410,315411,1063830,789477,130757,728478,1166932,2136646,64916,481597,9222082,27522099,72524078
WEST VIRGINIA,2010,13712959,11709919,4426116,4803704,1156513,1184510,143456,1521895,237159,560171,1318893,1161206,2272,79614,1921154,12343051,2382633,9960418,6984904,1004272,1505492,198482,267268,1731700,12343051,10767434,2382633,8384801,3931867,3042614,121617,291129,1157005,72880,270717,236900,62639,400680,267268,912118,3521,66604,1505492,7144323,17847539
WISCONSIN,2010,48088136,30845174,10403378,14368569,3944260,2742579,833180,5791991,851537,205022,3632874,2440353, -   , -   ,17242962,38589815,10253124,28336691,17474054,2328873,6905196,652245,976323,4292114,38589815,31677742,10253124,21424618,11091896,8325974,1160327,764473,2317321,135435,1131141,681853,35691,710821,976323,4346487,6877, -   ,6905196,22318551,84936169
WYOMING,2010,7454081,5627033,2456605,2158260,789413,126068,139052, -   , -   ,1103727,182481,829687, -   ,81884,1745164,5756937,1760946,3995991,2537648,592269,729260,73584,63230,709217,5756937,4956616,1760946,3195670,1613556,733979,5336,290415,571400,52590,137524,423646,22732,310510,63230,731698, -   ,71061,729260,1514359,19829046
