Item,UNITED STATES,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
      Other taxes,"36,566,395","467,505","3,940,990","854,931","803,170","2,362,564","285,037","317,270","57,468","1,415,200","99,350","24,047","11,463","392,251","194,636","86,420","245,325","913,506","980,878","91,325","1,072,129","444,143","2,342,101","1,049,603","139,527","53,788","588,571","18,109","725,605","476,857","997,343","996,920","1,994,974","154,402","829,399","45,455","1,125,934","133,765","1,180,702","36,158","44,671","8,767","266,065","2,297,181","102,442","965,665","470,314","2,368,696","390,111","212,565","1,491,097"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Current charges,"162,306,197","3,674,221","550,563","1,899,187","2,022,204","14,109,115","2,982,445","2,003,752","1,057,575","8,575,764","3,238,685","1,388,526","605,324","4,714,594","3,460,345","2,421,550","2,182,508","2,960,372","2,926,042","782,974","3,205,651","4,407,922","6,645,099","2,331,796","1,520,173","2,564,778","503,559","971,723","726,127","823,231","5,512,226","1,326,495","8,361,802","4,049,902","732,742","7,319,637","2,210,661","2,546,096","7,499,934","710,638","4,147,376","340,099","2,349,512","10,765,547","2,528,773","560,797","6,798,903","4,020,108","1,343,499","3,735,733","189,912"
    Miscellaneous general revenue,"123,426,442","1,395,479","3,633,796","2,112,212","771,309","10,574,404","2,060,361","1,396,986","1,261,474","5,021,141","2,218,435","691,848","479,507","4,268,122","2,160,106","1,169,638","882,864","1,283,370","2,430,829","517,746","2,409,480","5,335,750","3,920,495","1,543,112","619,013","1,982,139","703,646","660,348","582,706","820,089","4,051,419","2,261,295","12,743,219","2,760,029","416,540","4,261,148","1,739,218","2,224,012","4,840,330","880,856","1,652,116","529,357","2,365,921","8,125,672","1,031,743","337,687","3,571,732","2,263,445","1,206,488","2,502,641","755,169"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Utility revenue,"16,471,341", -   ,"17,890","29,810", -   ,"4,652,318", -   ,"29,272","13,313","17,544","7,346", -   , -   , -   , -   , -   , -   , -   ,"6,767", -   ,"117,243","211,515", -   , -   , -   , -   , -   , -   ,"85,957",119,"868,023", -   ,"8,303,996",5, -   , -   ,"500,862",453, -   ,"34,010","1,573,993", -   , -   , -   ,466, -   , -   , -   ,439, -   , -   
  Liquor stores revenue,"6,376,562","252,052", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"100,962", -   , -   ,"208,053", -   , -   , -   ,30, -   , -   ,"781,895", -   ,"257,059", -   ,"67,255", -   , -   ,"491,420", -   , -   , -   , -   , -   ,"765,784", -   ,"414,012","1,491,768", -   , -   , -   , -   , -   ,"226,337","44,405","551,548","560,846","80,497", -   ,"82,639"
  Insurance trust revenue (1),"-383,391,069","-1,318,960","-1,908,258","-2,344,801","-2,731,327","-77,618,710","-8,965,788","-3,126,002","-926,176","-21,033,024","-758,892","-2,072,516","-973,217","-15,227,354","-1,996,962","-3,246,693","-1,921,023","-2,596,286","-4,135,096","-1,675,766","-5,739,190","-8,204,745","2,673,436","-6,261,683","-2,702,085","-6,472,097","-951,015","-1,154,932","-1,984,890","-573,090","-7,098,584","-3,608,408","-51,142,149","-11,842,885","-540,950","-29,398,598","-1,763,351","-10,613,413","-22,166,953","-1,714,204","-3,308,097","-1,309,355","-3,886,918","-3,881,430","-4,280,564","-463,053","-9,350,650","-8,693,943","-81,514","-20,963,626","-1,335,282"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"1,832,596,801","26,422,265","10,991,829","31,516,818","16,164,504","253,944,548","24,443,854","25,648,727","7,360,953","75,653,366","41,452,427","11,244,913","8,260,478","68,424,788","31,821,826","18,303,986","15,832,222","26,853,131","33,406,414","8,775,249","36,023,284","48,647,503","58,997,843","36,308,889","19,246,076","28,613,023","6,268,607","9,110,284","12,056,208","6,956,174","62,037,950","17,377,696","165,100,850","48,586,378","4,486,613","71,862,926","21,365,899","24,381,062","79,812,933","7,440,637","28,569,063","4,112,566","28,294,693","110,998,477","15,568,462","5,467,079","42,204,081","43,453,465","11,501,520","35,646,272","5,577,990"
  Intergovernmental expenditure,"490,887,391","6,535,634","1,616,689","9,618,970","4,698,889","94,909,240","6,403,127","4,316,376","1,205,247","17,677,928","10,816,572","159,452","2,077,028","15,034,787","8,214,991","4,660,802","4,314,940","4,769,871","6,505,389","1,325,723","8,654,935","8,890,500","19,656,877","11,199,230","5,156,650","5,936,688","1,276,112","2,064,173","3,864,223","1,278,589","11,135,809","4,766,207","55,107,082","13,562,079","933,974","18,963,232","4,506,456","5,703,775","19,144,305","1,002,915","5,520,979","707,862","6,797,935","29,252,364","3,120,527","1,532,766","11,894,394","10,043,789","2,232,558","10,199,520","1,919,231"
  Direct expenditure,"1,341,709,410","19,886,631","9,375,140","21,897,848","11,465,615","159,035,308","18,040,727","21,332,351","6,155,706","57,975,438","30,635,855","11,085,461","6,183,450","53,390,001","23,606,835","13,643,184","11,517,282","22,083,260","26,901,025","7,449,526","27,368,349","39,757,003","39,340,966","25,109,659","14,089,426","22,676,335","4,992,495","7,046,111","8,191,985","5,677,585","50,902,141","12,611,489","109,993,768","35,024,299","3,552,639","52,899,694","16,859,443","18,677,287","60,668,628","6,437,722","23,048,084","3,404,704","21,496,758","81,746,113","12,447,935","3,934,313","30,309,687","33,409,676","9,268,962","25,446,752","3,658,759"
    Current operation,"901,310,643","13,906,375","6,672,521","15,450,621","8,500,184","103,604,985","11,527,879","14,290,387","4,413,011","39,834,060","20,928,676","8,516,301","3,981,096","33,995,876","16,258,389","9,280,109","8,163,777","15,067,628","18,693,932","5,760,436","18,927,879","25,943,582","26,980,272","17,327,259","10,581,014","15,642,798","3,241,813","5,298,318","4,776,583","4,011,931","32,028,780","9,190,520","74,106,427","24,950,944","2,433,709","31,046,745","11,323,040","11,581,072","38,517,831","4,218,053","15,550,152","2,277,851","15,447,191","58,196,351","8,467,249","3,034,712","21,361,616","20,887,192","6,696,595","15,993,739","2,423,182"
    Capital outlay,"116,989,763","2,319,427","1,245,331","1,700,592","919,939","8,965,869","1,392,365","1,332,174","678,810","6,075,135","2,634,311","864,495","849,555","3,960,571","2,383,372","1,614,519","1,135,684","1,941,550","3,158,557","311,203","2,492,962","2,471,221","1,713,391","1,778,742","1,213,912","1,843,989","707,903","926,936","907,637","446,981","4,525,536","1,281,777","10,361,149","2,816,076","423,839","3,533,058","2,401,615","1,447,670","6,798,987","327,375","2,490,785","541,123","2,098,027","7,671,578","1,809,748","218,279","2,870,241","3,599,861","1,094,253","2,129,786","561,867"
    Insurance benefits and repayments,"241,080,311","2,846,717","960,536","3,665,790","1,611,403","38,188,113","4,045,583","3,794,294","591,868","8,552,118","5,459,680","1,146,659","1,009,777","11,342,566","3,261,111","1,990,046","1,676,368","3,803,813","3,443,816","888,036","3,537,547","6,884,771","8,175,937","4,614,619","1,876,700","3,794,187","775,308","561,790","2,098,741","684,422","11,023,189","1,580,716","18,574,161","6,245,400","417,293","14,577,731","2,275,259","4,767,185","11,512,652","1,328,207","3,179,134","380,245","2,424,765","12,603,710","1,440,316","357,434","3,706,785","6,351,983","1,047,745","5,460,814","543,271"
    Assistance and subsidies,"35,005,215","473,380","186,426","572,839","273,041","2,055,490","269,232","482,596","187,962","2,007,346","952,900","125,042","162,219","1,127,203","804,475","505,797","194,699","744,925","650,613","220,864","1,365,033","721,052","1,302,438","862,045","199,186","546,686","99,478","151,017","197,014","142,678","1,185,041","233,969","1,446,900","374,478","131,341","2,323,844","369,344","425,254","2,015,399","126,794","1,074,359","70,350","1,290,657","2,031,549","486,914","159,534","1,365,669","1,459,966","183,911","600,048","66,218"
    Interest on debt,"47,323,478","340,732","310,326","508,006","161,048","6,220,851","805,668","1,432,900","284,055","1,506,779","660,288","432,964","180,803","2,963,785","899,488","252,713","346,754","525,344","954,107","268,987","1,044,928","3,736,377","1,168,928","526,994","218,614","848,675","167,993","108,050","212,010","391,573","2,139,595","324,507","5,505,131","637,401","146,457","1,418,316","490,185","456,106","1,823,759","437,293","753,654","135,135","236,118","1,242,925","243,708","164,354","1,005,376","1,110,674","246,458","1,262,365","64,221"
Exhibit: Salaries and wages,"237,830,501","4,424,475","1,600,451","3,286,804","1,529,945","28,307,687","3,830,753","4,459,197","2,278,043","8,748,834","5,483,243","2,806,515","1,080,463","8,721,780","3,899,747","2,442,092","3,189,772","3,747,841","4,569,340","786,019","4,889,162","5,024,519","6,228,656","5,180,278","2,291,866","3,820,020","912,618","2,177,828","1,716,603","921,285","10,097,140","2,406,539","17,398,991","7,968,755","931,072","8,210,805","3,091,929","4,229,330","7,976,822","1,056,400","3,623,919","883,257","3,781,185","15,118,481","2,667,813","749,271","6,349,548","6,528,415","1,574,456","4,150,383","680,154"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"1,832,596,801","26,422,265","10,991,829","31,516,818","16,164,504","253,944,548","24,443,854","25,648,727","7,360,953","75,653,366","41,452,427","11,244,913","8,260,478","68,424,788","31,821,826","18,303,986","15,832,222","26,853,131","33,406,414","8,775,249","36,023,284","48,647,503","58,997,843","36,308,889","19,246,076","28,613,023","6,268,607","9,110,284","12,056,208","6,956,174","62,037,950","17,377,696","165,100,850","48,586,378","4,486,613","71,862,926","21,365,899","24,381,062","79,812,933","7,440,637","28,569,063","4,112,566","28,294,693","110,998,477","15,568,462","5,467,079","42,204,081","43,453,465","11,501,520","35,646,272","5,577,990"
 General expenditure,"1,560,046,263","23,335,185","9,896,330","27,819,006","14,553,101","211,083,320","20,374,991","21,341,539","6,634,392","66,993,514","35,956,143","10,096,387","7,161,726","57,082,222","28,560,715","16,172,418","14,155,854","23,019,129","29,956,928","7,885,803","31,665,036","41,527,611","50,187,731","31,645,752","17,162,353","24,818,836","5,419,903","8,548,494","9,869,734","5,846,814","48,208,101","15,796,980","133,940,570","42,305,938","4,069,320","56,813,211","18,158,546","19,388,496","66,894,551","5,963,618","22,736,275","3,732,321","25,869,928","98,299,224","13,961,499","5,035,486","38,047,366","36,537,414","10,376,402","30,176,862","4,963,188"
    Intergovernmental expenditure,"490,887,391","6,535,634","1,616,689","9,618,970","4,698,889","94,909,240","6,403,127","4,316,376","1,205,247","17,677,928","10,816,572","159,452","2,077,028","15,034,787","8,214,991","4,660,802","4,314,940","4,769,871","6,505,389","1,325,723","8,654,935","8,890,500","19,656,877","11,199,230","5,156,650","5,936,688","1,276,112","2,064,173","3,864,223","1,278,589","11,135,809","4,766,207","55,107,082","13,562,079","933,974","18,963,232","4,506,456","5,703,775","19,144,305","1,002,915","5,520,979","707,862","6,797,935","29,252,364","3,120,527","1,532,766","11,894,394","10,043,789","2,232,558","10,199,520","1,919,231"
    Direct expenditure,"1,069,158,872","16,799,551","8,279,641","18,200,036","9,854,212","116,174,080","13,971,864","17,025,163","5,429,145","49,315,586","25,139,571","9,936,935","5,084,698","42,047,435","20,345,724","11,511,616","9,840,914","18,249,258","23,451,539","6,560,080","23,010,101","32,637,111","30,530,854","20,446,522","12,005,703","18,882,148","4,143,791","6,484,321","6,005,511","4,568,225","37,072,292","11,030,773","78,833,488","28,743,859","3,135,346","37,849,979","13,652,090","13,684,721","47,750,246","4,960,703","17,215,296","3,024,459","19,071,993","69,046,860","10,840,972","3,502,720","26,152,972","26,493,625","8,143,844","19,977,342","3,043,957"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  General expenditure, by function:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Education,"567,674,062","10,562,134","2,200,202","8,859,323","6,524,569","73,248,498","8,634,021","6,083,150","2,302,154","22,131,046","16,570,989","3,556,817","2,864,001","16,732,763","12,646,914","6,147,569","6,013,798","8,866,268","9,239,286","2,063,566","11,190,257","11,275,401","21,938,051","12,889,957","5,442,830","8,802,642","1,786,990","3,130,952","4,100,694","1,998,981","16,423,092","5,482,358","42,273,865","18,029,629","1,371,414","21,396,457","7,390,486","7,133,379","21,325,162","1,670,031","7,834,782","1,211,838","8,957,181","44,354,519","6,370,956","2,269,224","14,755,276","15,295,072","3,892,978","10,717,030","1,715,510"
    Public welfare,"438,744,629","5,452,015","1,582,972","8,770,335","3,831,405","63,579,401","4,335,405","6,094,081","1,515,666","18,569,342","9,892,972","1,731,584","1,760,304","18,636,498","7,509,909","4,263,942","3,282,069","6,842,092","6,123,351","2,847,046","8,131,885","13,189,704","14,086,669","9,926,096","5,130,483","6,929,810","1,235,984","2,171,990","1,865,609","1,778,194","13,170,854","3,860,365","45,235,958","11,213,283","820,797","16,493,561","5,116,159","4,925,374","21,240,686","2,175,941","6,001,129","894,392","8,749,889","26,582,564","2,458,093","1,359,222","7,888,513","8,189,020","2,860,952","7,736,417","704,647"
    Hospitals,"58,041,020","1,781,709","35,668","62,173","837,945","7,276,117","514,114","1,455,247","59,063","892,655","636,995","601,205","50,337","1,116,377","205,453","1,193,593","1,002,199","1,262,836","2,101,290","59,199","556,339","489,859","2,366,161","366,903","1,042,491","1,351,676","47,418","248,014","256,894","55,452","2,131,413","832,952","5,898,259","1,501,079","15,432","2,451,790","230,161","1,220,844","3,023,026","64,742","1,398,273","60,465","466,221","3,763,065","927,095","20,175","2,991,710","1,859,169","114,021","1,142,446","3,300"
    Health,"62,553,777","586,529","321,686","1,728,249","208,984","10,932,467","1,063,230","972,080","393,254","3,651,980","1,162,192","668,180","154,581","2,417,178","645,042","262,034","249,872","669,338","672,118","552,645","2,077,774","1,050,574","1,204,600","662,491","399,109","1,300,238","139,165","407,012","238,918","102,740","1,327,419","508,665","8,584,306","1,653,556","69,146","2,278,192","828,620","447,523","2,127,280","181,653","1,056,196","134,191","1,279,444","2,519,399","393,241","164,536","1,128,702","1,802,465","290,263","588,734","295,986"
    Highways,"107,286,437","1,630,041","1,338,876","2,309,492","912,721","10,731,047","1,224,706","950,797","529,442","6,387,750","1,778,524","455,985","729,798","5,270,169","2,072,949","1,613,728","1,244,991","1,906,011","2,666,699","524,088","2,513,661","1,911,792","2,662,222","2,206,014","1,204,070","2,230,978","640,962","706,424","792,451","477,085","2,662,684","1,057,458","4,533,585","2,885,414","544,043","3,265,756","1,648,001","1,565,818","7,347,576","220,513","1,070,776","480,144","2,204,291","6,776,659","1,325,376","335,679","2,987,783","2,896,426","1,209,882","2,162,554","482,546"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Police protection,"13,676,971","188,250","88,285","268,685","64,360","1,683,827","130,808","209,541","106,079","424,007","267,760","28,394","54,254","431,348","252,094","97,987","110,155","183,117","343,922","75,535","471,575","579,052","323,947","349,589","115,494","211,349","45,213","89,722","110,772","56,063","469,289","144,802","967,673","484,271","30,173","284,908","165,575","166,662","879,920","67,514","187,735","31,338","183,422","747,902","125,867","74,996","671,407","322,286","101,691","135,843","72,513"
    Correction,"50,382,439","541,049","259,889","1,135,021","305,250","9,110,775","1,084,368","735,438","272,763","2,670,803","1,429,373","230,656","257,810","1,293,462","674,337","292,609","358,672","505,941","832,499","148,446","1,412,584","1,329,086","1,779,209","554,952","367,878","765,995","180,160","228,871","398,522","107,683","1,473,703","379,599","3,083,344","1,353,509","66,027","1,732,289","629,731","713,821","1,702,602","179,649","486,737","114,507","810,953","3,689,841","333,720","120,183","1,547,595","1,158,924","256,169","1,136,178","149,257"
    Natural resources,"22,605,445","296,527","308,909","273,817","231,121","4,590,592","463,570","126,134","88,653","1,588,917","469,241","118,376","188,889","254,267","309,901","323,176","230,085","322,654","639,880","193,702","645,965","401,929","340,598","554,166","256,402","383,460","229,264","205,476","133,926","65,723","646,124","232,723","546,375","778,046","176,663","374,480","243,031","454,327","657,563","40,416","239,503","129,866","381,408","863,925","183,443","73,121","226,464","926,500","187,066","628,189","380,892"
    Parks and recreation,"6,113,388","38,642","25,276","124,043","42,228","416,813","87,143","45,225","45,959","174,656","209,639","85,278","51,848","293,656","87,960","41,899","33,566","113,587","290,996","12,262","179,832","222,852","106,892","184,577","47,236","44,142","18,904","31,178","35,036","27,822","436,943","75,545","632,845","301,978","23,087","98,725","95,105","100,745","298,631","6,915","104,695","43,417","144,638","179,130","56,119","17,059","113,746","143,420","55,731","39,027","26,740"
    Governmental administration,"54,013,236","585,530","591,173","713,057","504,156","8,461,946","923,497","1,148,444","446,087","2,281,797","790,476","505,381","368,341","1,249,391","604,974","574,879","456,186","801,282","954,841","313,053","1,278,162","1,766,377","865,902","879,945","355,318","544,104","412,461","211,647","371,823","228,073","1,909,368","619,924","5,612,270","1,434,647","137,598","1,929,563","584,197","942,261","2,901,101","358,342","1,025,605","223,105","890,583","1,825,325","784,819","164,911","1,365,890","777,996","415,531","664,260","257,637"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Interest on general debt,"45,281,069","340,732","303,210","505,602","161,048","5,839,851","784,332","1,432,900","284,055","1,506,779","660,288","432,964","180,803","2,963,785","899,488","252,713","346,754","525,344","954,107","268,987","1,044,928","3,647,775","1,168,928","526,994","218,614","848,675","167,993","108,050","208,602","391,573","2,135,032","324,507","4,230,516","637,401","146,457","1,418,316","430,991","456,106","1,823,759","437,293","553,483","135,135","236,118","1,242,925","243,708","164,354","1,005,376","1,110,674","246,458","1,262,365","64,221"
    Other and unallocable,"133,673,790","1,332,027","2,840,184","3,069,209","929,314","15,211,986","1,129,797","2,088,502","591,217","6,713,782","2,087,694","1,681,567","500,760","6,423,328","2,651,694","1,108,289","827,507","1,020,659","5,137,939","827,274","2,162,074","5,663,210","3,344,552","2,544,068","2,582,428","1,405,767","515,389","1,009,158","1,356,487","557,425","5,422,180","2,278,082","12,341,574","2,033,125","668,483","5,089,174","796,489","1,261,636","3,567,245","560,609","2,777,361","273,923","1,565,780","5,753,970","759,062","272,026","3,364,904","2,055,462","745,660","3,963,819","809,939"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Utility expenditure,"26,295,576", -   ,"134,963","32,022", -   ,"4,673,115","23,280","512,894","134,693","107,734","36,604","1,867", -   , -   , -   , -   , -   ,"30,189","5,670","1,410","820,701","235,121","1,082","48,518", -   , -   ,"12,076", -   ,"87,733","4,913","2,806,660", -   ,"12,586,119","35,040", -   , -   ,"932,094","17,048", -   ,"148,812","2,653,654", -   , -   ,"95,543","1,654","29,407","2,453","63,783","10,128","8,596", -   
  Liquor stores expenditure,"5,174,651","240,363", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"88,975", -   , -   ,"141,522", -   , -   , -   , -   , -   , -   ,"633,093", -   ,"207,023", -   ,"61,320", -   , -   ,"420,025", -   , -   , -   , -   , -   ,"471,984", -   ,"208,333","1,405,730", -   , -   , -   , -   , -   ,"164,993","44,752","447,477","500,285","67,245", -   ,"71,531"
  Insurance trust expenditure,"241,080,311","2,846,717","960,536","3,665,790","1,611,403","38,188,113","4,045,583","3,794,294","591,868","8,552,118","5,459,680","1,146,659","1,009,777","11,342,566","3,261,111","1,990,046","1,676,368","3,803,813","3,443,816","888,036","3,537,547","6,884,771","8,175,937","4,614,619","1,876,700","3,794,187","775,308","561,790","2,098,741","684,422","11,023,189","1,580,716","18,574,161","6,245,400","417,293","14,577,731","2,275,259","4,767,185","11,512,652","1,328,207","3,179,134","380,245","2,424,765","12,603,710","1,440,316","357,434","3,706,785","6,351,983","1,047,745","5,460,814","543,271"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt at end of fiscal year,"1,048,655,489","8,155,943","6,589,698","12,324,879","4,135,051","134,764,874","17,202,374","28,394,151","5,984,645","39,813,877","13,455,164","6,880,242","3,501,676","56,962,364","23,711,889","6,353,306","5,857,295","13,364,138","17,504,772","5,297,276","23,472,579","74,597,901","31,686,190","10,524,424","6,189,432","19,241,356","4,469,708","2,516,775","4,444,804","8,411,660","56,897,866","8,001,721","122,651,630","19,910,714","1,888,148","29,090,503","9,855,393","12,678,820","41,924,042","9,180,938","15,313,021","3,626,024","4,847,786","30,438,160","6,267,888","3,426,670","23,508,301","24,603,219","6,501,995","20,913,355","1,320,852"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
