Item,UNITED STATES,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
Total revenue,"1,133,446,448","20,036,326","9,641,320","23,232,885","12,479,447","113,241,403","9,891,984","17,982,442","5,780,559","45,718,315","33,614,408","6,945,777","5,579,623","38,582,919","27,948,706","13,207,715","11,654,910","18,875,625","23,951,567","6,215,026","24,054,709","34,182,458","53,090,160","22,781,153","14,393,964","17,969,081","4,828,033","7,248,209","7,531,884","5,639,852","42,944,305","9,869,384","92,112,356","30,150,407","4,372,683","26,133,949","17,433,201","7,553,467","40,050,370","4,813,404","18,958,820","2,367,319","19,768,870","92,274,744","8,783,428","4,559,365","26,194,045","24,387,004","11,112,547","8,518,436","4,787,884"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  General revenue,"1,493,989,614","21,103,234","11,531,688","25,547,876","15,210,774","186,207,795","18,857,772","21,079,172","6,693,422","66,733,795","34,365,954","9,018,293","6,451,878","53,810,273","29,945,668","16,246,355","13,575,933","21,471,911","28,079,896","7,890,762","29,676,656","42,175,688","49,634,829","29,042,836","16,838,990","24,441,178","5,711,793","8,403,141","9,430,817","5,721,403","49,174,866","13,477,792","134,950,509","41,993,287","4,913,633","54,766,763","18,695,690","17,752,415","60,725,555","6,493,598","20,692,924","3,676,674","23,655,788","96,156,174","12,837,189","4,978,013","34,993,147","32,520,101","11,113,125","29,482,062","6,040,527"
    Intergovernmental revenue,"494,782,446","7,727,088","2,391,445","10,402,074","4,949,582","60,516,817","5,132,144","5,518,398","1,575,270","21,083,791","12,830,886","2,225,268","2,195,184","17,412,025","9,423,781","5,670,077","3,815,931","7,487,283","12,521,094","3,101,082","8,775,964","12,749,102","16,311,417","8,006,629","8,209,225","9,619,643","2,097,188","2,770,131","2,510,358","1,952,361","12,424,668","5,072,725","49,089,065","14,657,693","1,349,857","19,265,922","6,553,620","5,867,264","18,314,112","2,315,920","7,256,706","1,465,460","8,507,222","35,485,256","3,853,815","1,573,825","8,015,001","9,829,012","3,775,786","8,796,443","2,331,836"
    Taxes,"713,474,529","8,306,446","4,955,884","11,134,403","7,467,679","101,007,459","8,682,822","12,160,036","2,799,103","32,053,099","16,077,948","4,712,651","3,171,863","27,415,532","14,901,436","6,985,090","6,694,630","9,740,886","10,201,931","3,488,960","15,285,561","19,682,914","22,757,818","17,161,299","6,490,579","10,274,618","2,407,400","4,000,939","5,611,626","2,125,722","27,186,553","4,817,277","64,756,423","20,525,663","2,414,494","23,920,056","8,192,191","7,115,043","30,071,179","2,586,184","7,636,726","1,341,758","10,433,133","41,779,699","5,422,858","2,505,704","16,607,511","16,407,536","4,787,352","14,447,245","2,763,610"
      General sales,"226,781,684","2,069,535", -   ,"4,878,883","2,765,996","28,972,302","2,123,671","3,290,050", -   ,"19,228,000","5,306,491","2,461,618","1,206,137","7,408,241","6,205,638","2,201,396","2,227,183","2,857,665","2,963,758","1,012,357","3,851,341","3,880,087","8,998,942","4,375,200","3,026,497","3,030,477", -   ,"1,504,174","2,684,029", -   ,"8,188,990","1,881,651","11,073,898","4,963,434","607,171","7,328,388","2,162,693", -   ,"8,496,182","814,511","2,910,183","756,598","6,356,962","21,053,923","1,744,035","321,162","3,372,974","10,035,359","1,110,017","4,084,147","989,738"
      Selective sales,"115,822,472","2,133,748","250,267","1,831,662","984,947","7,409,041","1,175,579","2,135,883","474,278","7,749,862","1,694,650","663,417","368,211","6,424,835","2,650,942","1,070,780","817,721","1,806,165","2,239,146","628,314","2,371,570","2,216,239","3,505,218","2,987,140","1,111,542","1,568,443","529,392","511,109","1,671,660","829,654","3,537,026","602,961","9,164,520","3,471,751","337,397","4,821,101","995,643","885,526","6,600,228","569,253","1,168,177","327,013","1,643,509","11,581,054","654,127","500,844","2,265,379","3,075,425","1,116,306","2,563,252","130,565"
      License taxes,"49,145,634","478,927","132,504","400,987","328,393","8,371,914","365,544","363,502","1,147,987","1,823,237","481,555","146,270","268,208","2,257,605","697,487","658,939","301,953","458,548","464,971","243,168","763,284","753,807","1,351,556","1,022,182","403,120","571,673","297,986","167,014","530,332","227,589","1,401,857","214,745","1,255,337","1,474,278","140,820","2,880,397","1,020,583","689,616","2,503,297","96,880","452,195","200,608","1,128,651","6,847,541","356,742","98,363","670,999","928,056","192,985","959,232","152,210"
      Individual income tax,"245,880,786","2,662,759", -   ,"2,575,753","2,238,958","44,355,959","4,403,446","5,609,270","910,693", -   ,"7,801,185","1,338,702","1,175,604","9,222,600","4,313,759","2,703,190","2,731,559","3,315,368","2,940,633","1,370,710","6,478,236","10,599,085","5,856,751","6,948,119","1,485,592","4,771,576","827,196","1,602,091", -   ,"98,191","10,663,866","958,500","36,840,019","9,560,353","370,165","8,323,352","2,544,576","5,162,384","9,550,238","960,885","2,812,300", -   ,"221,685", -   ,"2,319,632","532,911","9,194,355", -   ,"1,557,403","5,971,177", -   
      Corporate income tax,"39,277,558","493,972","632,123","592,187","346,215","9,535,679","329,545","444,061","208,677","1,836,800","694,717","78,597","142,240","1,710,000","838,974","264,365","370,889","389,634","612,545","143,086","749,001","1,789,553","703,250","779,055","324,301","278,661","164,255","198,442", -   ,"493,431","2,397,471","162,500","4,427,675","901,445","129,542","521,363","342,762","243,752","1,740,532","108,497","249,200","48,772","816,261", -   ,"245,880","86,759","633,490", -   ,"420,530","656,872", -   
